,Mkt-Rf,SMB,HML,Rf
1991-07-31,0.17075643888350311,-0.11917988613631936,0.02097248023570447,0.01388843034840992
1991-08-31,-0.06147350654662319,-0.050154942821884166,0.013819405828662035,0.014167257156779023
1991-09-30,0.01741805212033789,-0.07060349716554021,-0.0011109877923091965,0.01474367878683669
1991-10-31,-0.02670818242139245,0.02555038109641862,0.05864861746038744,0.013745114400742331
1991-11-30,-0.07643737932768734,0.07403559353256287,0.06605458220571458,0.013457812123617963
1991-12-26,-0.07705262043903888,-0.02404399692474661,0.07509588571006119,0.01388843034840992
1992-01-31,0.10208534802585406,0.11216105507357083,0.16395826151516807,0.011824820244950685
1992-02-29,-0.11253024041889478,0.0886434999074331,0.05128412405303094,0.012590489349843637
1992-03-31,-0.022934099342004445,0.06730730756569282,0.1670292361854085,0.012844303423637182
1992-04-30,0.003143831596176261,0.0750025926003316,-0.11351852018055451,0.012771856489323108
1992-05-30,-0.08066328906132367,0.10030858761730466,0.029678643934528678,0.012851544982878327
1992-06-30,-0.05126606302369359,-0.10272582499768551,-0.04753530019485393,0.0126558226893152
1992-07-31,-0.08816233365928947,-0.0023622342801884605,-0.018188635208527745,0.011934592413342715
1992-08-31,0.09038865519856461,-0.001123750141759347,0.05470274790195496,0.013248956331977535
1992-09-30,-0.09980099650353759,-0.005127286993068789,-0.02885597977182016,0.012771856489323108
1992-10-31,0.18780916397158884,-0.10165082422185358,-0.014941535957869359,0.0102368443581764
1992-11-30,0.0664913191698618,-0.0015355713387213976,-0.03073706290939334,0.01112653716075318
1992-12-28,0.011458768990278694,0.10146820662069742,-0.029175093145904413,0.011273985471853543
1993-01-30,-0.02173244614040999,0.1509008136928394,-0.04782063856127229,0.010117564942367263
1993-02-27,-0.050648420708383914,0.01369767966910487,0.04362164590258936,0.009488792934583046
1993-03-31,0.02815262678296946,-0.04183310706282807,-0.04321246732028909,0.008848119764249596
1993-04-30,0.07340942913801829,-0.012639978244964087,-0.041678647950214254,0.008810293396664948
1993-05-31,0.033556983607216796,0.04767923761505084,-0.02696924115242476,0.00904456579200974
1993-06-30,-0.014286432201946173,0.08112718313675624,0.016210873749048404,0.009713849091260496
1993-07-31,-0.03566381175592098,0.02944483860657627,0.016188876142811018,0.010385726106876492
1993-08-31,-0.10010946542525367,-0.09235738933164576,-0.01185335502884155,0.010978851950173452
1993-09-28,0.07096577867154326,0.043728333795661184,0.02985020213413901,0.0102368443581764
1993-10-30,0.03421792549697127,0.0686999081944872,0.02146311000402533,0.010087720864679683
1993-11-30,0.07073728053595842,-0.10231571925970477,0.02750271136829629,0.009638891672055117
1993-12-28,0.05847165388809346,-0.13941241986134617,0.010437963013932391,0.009488792934583046
1994-01-31,0.08255375985576734,-0.22214592962303825,-0.027112005762362314,0.009263183504735206
1994-02-28,-0.03763340270512437,0.005388497969993113,0.005280201477502813,0.009263183504735206
1994-03-31,-0.06585950807463213,0.15766079190230506,-0.013840660022654869,0.009638891672055117
1994-04-30,0.0382151707342547,-0.13657255313368136,-0.00043583304567628225,0.009638891672055117
1994-05-31,0.02429694222451336,0.05531495518768479,-0.016241210030384895,0.009563872988093358
1994-06-30,-0.016088689643938545,0.06658337502731732,0.021001145397708223,0.009563872988093358
1994-07-30,-0.015413726676769253,0.04709363298349812,0.024510754890376803,0.009638891672055117
1994-08-31,0.007883226499868536,-0.0837392295302368,-0.002257079727668287,0.009638891672055117
1994-09-30,0.1025442536320976,-0.07881021970336449,-0.03734645604291401,0.010013068206861098
1994-10-31,0.04229792072000666,0.1272587660052953,-0.04791331448945829,0.010162312880815705
1994-11-30,-0.03868858185576649,0.09908437653460014,-0.008098803946953753,0.0104600765827072
1994-12-28,-0.05465010091575865,0.1408896248504952,-0.03530780918407809,0.010867932097523347
1995-01-28,-0.11007654800904217,-0.04278702266416293,0.037907459926222103,0.010978851950173452
1995-02-28,-0.05420316104251113,-0.03657590939663166,0.012496479379004957,0.01112653716075318
1995-03-31,0.04091198647618516,-0.07131184006729663,0.002628842016975712,0.01112653716075318
1995-04-29,-0.048452944681841824,-0.023086119365953124,-0.018259822607031406,0.01112653716075318
1995-05-31,-0.027291531586617172,-8.822072893054436e-05,-0.015485889026940997,0.01112653716075318
1995-06-30,0.002369213547462081,0.028978094447783233,0.0208920374881578,0.01112653716075318
1995-07-31,0.03280420056489244,0.029030066814549487,-0.008153484968297826,0.010978851950173452
1995-08-31,-0.031172359650731125,-0.02359306386025796,0.01957728071232561,0.010274087426902057
1995-09-30,0.06495111684838077,-0.04302023288919739,-0.02622409497076765,0.010087720864679683
1995-10-31,-0.0020443806221980866,-0.01429217938956585,-0.046592311431341765,0.009788745350229444
1995-11-30,-0.06926210471184768,0.03472994589284084,0.013871763258836461,0.009338448298380486
1995-12-27,-0.06084123525466646,-0.07551268323840318,-0.03717681549687334,0.009300823618865417
1996-01-31,-0.014079880142272887,0.10674489314830615,-0.009298798478134397,0.009413651406458445
1996-02-29,-0.038949804171286975,-0.04391374302157881,0.03560047230462875,0.009376057556508055
1996-03-30,0.015747662736602372,-0.015822552107000735,0.004960069025491832,0.009263183504735206
1996-04-30,0.11397905632814707,0.06927417837974713,-0.007498781172052216,0.008126736661694611
1996-05-31,-0.08843757803013526,0.06886468548959657,0.051278425115811876,0.009112468436904608
1996-06-29,-0.10437845947553138,0.02719620188553011,-0.003012767970717131,0.009526340639091968
1996-07-31,-0.004552823008255102,0.11084046327337024,-0.04188695445931573,0.009788745350229444
1996-08-31,-0.05903442955752756,0.07086847052968973,0.04032144072707526,0.010087720864679683
