,Mkt-Rf,SMB_devil,HML_devil,MOM,Rf
1991-02-28,0.050862202129309614,-0.0015977379426046212,-0.023324091065064806,-0.05248516969622742,0.012357816756431772
1991-03-30,-0.03606283586472486,0.05644212584764592,-0.012194640748968161,-0.04353529454907128,0.012793596555696896
1991-04-30,-0.03525403503736195,-0.005037097413320254,-0.0055119045016948295,0.001363447847807099,0.013673372765633518
1991-05-31,-0.06704040560665062,-0.0055373130569822335,-0.0074212025240117385,0.015559796666766698,0.013974313074007094
1991-06-29,-0.0244046796372622,-0.0034723636808400246,-0.007376953487755364,0.01564355806013306,0.014459476398528182
1991-07-31,0.17075643888350311,-0.1226896336058943,0.020430781731932746,0.009270396630579755,0.01388843034840992
1991-08-31,-0.06147350654662319,-0.05037606483281986,-0.0009755485950331405,0.009730054329459822,0.014167257156779023
1991-09-30,0.01741805212033789,-0.06317469209313986,-0.009789380416353377,0.048937286370355826,0.01474367878683669
1991-10-31,-0.02670818242139245,0.008974705450670452,0.030734753378832278,-0.03270278528092675,0.013745114400742331
1991-11-30,-0.07643737932768734,0.05318982862081192,0.05753211521307999,-0.032707306008557674,0.013457812123617963
1991-12-26,-0.07705262043903888,-0.03042611100353227,0.01398637352358599,0.06552517310806052,0.01388843034840992
1992-01-31,0.10208534802585406,0.08263682175026427,0.1277344095609023,0.08960487655504101,0.011824820244950685
1992-02-29,-0.11253024041889478,0.0812978494807668,0.05151809526552633,-0.05932721407821158,0.012590489349843637
1992-03-31,-0.022934099342004445,0.026615604256148378,-0.014302467492913954,0.2136498996074857,0.012844303423637182
1992-04-30,0.003143831596176261,0.11176625418109998,0.1464424156496123,-0.26047815416582315,0.012771856489323108
1992-05-30,-0.08066328906132367,0.10125276587220429,-0.004781640797810056,0.05592497189943055,0.012851544982878327
1992-06-30,-0.05126606302369359,-0.08168705105213381,0.004551956138174759,-0.09589986164866655,0.0126558226893152
1992-07-31,-0.08816233365928947,-0.006908878942881377,0.024514740602759225,-0.04608705609248055,0.011934592413342715
1992-08-31,0.09038865519856461,0.0022286292823008313,-0.003213333353772163,0.11714634981777448,0.013248956331977535
1992-09-30,-0.09980099650353759,-0.010690088490359469,0.02790519867195697,-0.05935496833045663,0.012771856489323108
1992-10-31,0.18780916397158884,-0.11766008232681982,0.08158234642022119,-0.1932226707024649,0.0102368443581764
1992-11-30,0.0664913191698618,-0.013458387136619739,-0.020490159735928493,-0.1350690799405056,0.01112653716075318
1992-12-28,0.011458768990278694,0.08646061929618615,0.08149221432245107,-0.07414197315724608,0.011273985471853543
1993-01-30,-0.02173244614040999,0.15736130768181203,0.0154365373214519,-0.05866659656390117,0.010117564942367263
1993-02-27,-0.050648420708383914,0.0223869407902961,0.017575715733049217,0.04149814463528292,0.009488792934583046
1993-03-31,0.02815262678296946,-0.039611781487956015,-0.0007820654021340953,-0.005307536691227648,0.008848119764249596
1993-04-30,0.07340942913801829,-0.023886100082755157,0.007747859692777567,-0.011275306738690774,0.008810293396664948
1993-05-31,0.033556983607216796,0.03807319350604276,0.02938398339592735,-0.01994138095217432,0.00904456579200974
1993-06-30,-0.014286432201946173,0.07871210329228308,0.010924844735380572,-0.029470880420990084,0.009713849091260496
1993-07-31,-0.03566381175592098,0.025192329768040193,0.03755887941322943,-0.02384591950667683,0.010385726106876492
1993-08-31,-0.10010946542525367,-0.10038803289553501,0.005976803549575277,-0.07007718118667983,0.010978851950173452
1993-09-28,0.07096577867154326,0.058946211580258256,0.008776163765361111,0.0598339312336833,0.0102368443581764
1993-10-30,0.03421792549697127,0.06942202455439765,0.052796715607159705,-0.05575021478897338,0.010087720864679683
1993-11-30,0.07073728053595842,-0.10765596417031914,0.042253039879016074,-0.05546620290417489,0.009638891672055117
1993-12-28,0.05847165388809346,-0.15950680855413524,0.006108440704585116,-0.08139999925224793,0.009488792934583046
1994-01-31,0.08255375985576734,-0.27041714350523943,-0.020984862708573887,0.018348726500799058,0.009263183504735206
1994-02-28,-0.03763340270512437,0.013269853518430127,-0.011948120308490746,-0.025707843379506535,0.009263183504735206
1994-03-31,-0.06585950807463213,0.14136302067700918,0.10686267227333043,-0.12760374315235665,0.009638891672055117
1994-04-30,0.0382151707342547,-0.17307572341850427,0.010272098573032625,0.1655906126998135,0.009638891672055117
1994-05-31,0.02429694222451336,0.058232672819640376,0.05725788311133692,-0.09119384904021985,0.009563872988093358
1994-06-30,-0.016088689643938545,0.06717636539798595,0.05297636997258373,-0.061517670781768466,0.009563872988093358
1994-07-30,-0.015413726676769253,0.04405848971428368,0.02214458818630074,0.048932818438809346,0.009638891672055117
1994-08-31,0.007883226499868536,-0.09784908899786994,-0.04762566152853469,0.005874916421803558,0.009638891672055117
1994-09-30,0.1025442536320976,-0.0671834045295982,-0.04136436343673281,-0.03184941552227113,0.010013068206861098
1994-10-31,0.04229792072000666,0.15121584085691023,0.051099645845737535,0.010594244792426821,0.010162312880815705
1994-11-30,-0.03868858185576649,0.09706440751716694,0.005961127958973966,-0.05681956782111985,0.0104600765827072
1994-12-28,-0.05465010091575865,0.1546360629605217,0.0768364762218606,-0.11551385536384756,0.010867932097523347
1995-01-28,-0.11007654800904217,-0.03740498626982147,0.00891978497477261,0.042231597097369886,0.010978851950173452
1995-02-28,-0.05420316104251113,-0.03742034797487416,0.017015399264022707,-0.040794300981653105,0.01112653716075318
1995-03-31,0.04091198647618516,-0.0658710471467379,-0.008140303868853796,0.0342608409455766,0.01112653716075318
1995-04-29,-0.048452944681841824,-0.01237095354117608,-0.02960010223325983,0.003762149137135809,0.01112653716075318
