,Mkt-Rf,SMB,HML,RMW,CMA,Rf
1991-07-31,0.17075643888350311,-0.12227951503029004,0.004369510606380841,0.014148986043351686,0.040558634319607684,0.01388843034840992
1991-08-31,-0.06147350654662319,-0.04485937644370833,0.009459268765541276,0.015194384716006065,0.014960366673157977,0.014167257156779023
1991-09-30,0.01741805212033789,-0.06556668523359514,-0.010092236433732074,0.02530084392997972,0.016515621466761145,0.01474367878683669
1991-10-31,-0.02670818242139245,0.035046064097248336,0.0399752364207998,0.0004121175960179954,0.025444562768771214,0.013745114400742331
1991-11-30,-0.07643737932768734,0.0783172111660528,0.055577493127131034,0.03976856465111159,0.025989794061740363,0.013457812123617963
1991-12-26,-0.07705262043903888,-0.0193528871564268,0.044152577790456685,0.08661984366866046,0.01413809927488073,0.01388843034840992
1992-01-31,0.10208534802585406,0.1398541899371947,0.15049350395382619,0.01261116270559176,0.04498758183760454,0.011824820244950685
1992-02-29,-0.11253024041889478,0.10708203152480855,0.05225782186975403,-0.0203195087046686,-0.004304941239057794,0.012590489349843637
1992-03-31,-0.022934099342004445,0.07445219207357363,0.1612541976174951,0.08437059507133345,0.036633522340090374,0.012844303423637182
1992-04-30,0.003143831596176261,0.06746642564558024,-0.09011802075597367,-0.06121809848436219,-0.05432479444716653,0.012771856489323108
1992-05-30,-0.08066328906132367,0.10625910476819994,0.029708096074813783,0.022237873588049715,-0.0196735907344252,0.012851544982878327
1992-06-30,-0.05126606302369359,-0.11333361507654817,-0.06342827569746366,0.02820034176279272,-0.05003952658895949,0.0126558226893152
1992-07-31,-0.08816233365928947,-0.01282455851032549,0.020521242374426693,-0.03312179767919715,0.025304148972651,0.011934592413342715
1992-08-31,0.09038865519856461,0.003931185343394271,0.016744468081169334,0.03171000022488017,0.016895601707967958,0.013248956331977535
1992-09-30,-0.09980099650353759,-0.01225654567791905,-0.020165826299701373,-0.013978535843840345,0.019324333575445232,0.012771856489323108
1992-10-31,0.18780916397158884,-0.10645001757934308,-0.03360670920523745,-0.02439382197180029,0.05022371497023109,0.0102368443581764
1992-11-30,0.0664913191698618,-0.006072699502358124,-0.04070531688469435,0.010638498212884033,-0.014296755497922743,0.01112653716075318
1992-12-28,0.011458768990278694,0.09031719070718797,0.018246153307000607,-0.010158795907706908,-0.00016218986252559964,0.011273985471853543
1993-01-30,-0.02173244614040999,0.14770987676127667,-0.01433910032184997,0.014099733457979644,-0.018056947615453525,0.010117564942367263
1993-02-27,-0.050648420708383914,0.022789739473780952,0.025146287066817957,0.0015798552286316082,0.010090375530237686,0.009488792934583046
1993-03-31,0.02815262678296946,-0.04552864459626263,-0.01465572146890356,-0.006267225490262002,-0.008070272617302535,0.008848119764249596
1993-04-30,0.07340942913801829,-0.021708849352105413,-0.008466635361076932,-0.02253981602704626,-0.002279396659677066,0.008810293396664948
1993-05-31,0.033556983607216796,0.031382241882551794,0.03144365307067072,-0.04649799688271056,0.01296673046042722,0.00904456579200974
1993-06-30,-0.014286432201946173,0.07854693386831672,0.010059334078129346,0.006447027127073082,0.004119475831826463,0.009713849091260496
1993-07-31,-0.03566381175592098,0.03227220222747855,0.028537037791378526,-0.0001469060727399751,0.005359476068304277,0.010385726106876492
1993-08-31,-0.10010946542525367,-0.09324611920228647,-0.010477650828265461,0.023404666515995154,-0.026111942286426326,0.010978851950173452
1993-09-28,0.07096577867154326,0.0444289421553045,-0.0024410701047681144,-0.03527978011059599,0.01955232715758591,0.0102368443581764
1993-10-30,0.03421792549697127,0.07528618745857223,0.04634908298375,0.009795812443561772,-0.006514333056381688,0.010087720864679683
1993-11-30,0.07073728053595842,-0.07574811404887155,0.07716639566895134,0.00699740774075619,0.008065508933890547,0.009638891672055117
1993-12-28,0.05847165388809346,-0.14744774025458132,0.022528262640361545,-0.01201889746270798,-0.020847306318117122,0.009488792934583046
1994-01-31,0.08255375985576734,-0.2271303288649754,-0.007070753027396855,0.06769118978875999,-0.07768479863937194,0.009263183504735206
1994-02-28,-0.03763340270512437,-0.0005811654565239908,-0.049921716039065527,-0.013896299984265973,-0.0025310276031221303,0.009263183504735206
1994-03-31,-0.06585950807463213,0.15632394582457998,0.009457194307115606,-0.014654379213079757,0.06223372524362397,0.009638891672055117
1994-04-30,0.0382151707342547,-0.12835386409648158,0.0028464315188412165,0.017765241213453645,-0.03140885185437717,0.009638891672055117
1994-05-31,0.02429694222451336,0.05303725752899833,-0.012183903139690533,-0.04225675806343038,0.042459535858093755,0.009563872988093358
1994-06-30,-0.016088689643938545,0.07456100844632879,-0.00092102620486385,0.024810139757648793,-0.0011333925999484906,0.009563872988093358
1994-07-30,-0.015413726676769253,0.04686008514873476,-0.004946924887898274,0.0051478493127794615,0.030406637538283827,0.009638891672055117
1994-08-31,0.007883226499868536,-0.08627910917916887,-0.013144640427999371,0.03106309244690236,0.0230375905859318,0.009638891672055117
1994-09-30,0.1025442536320976,-0.06576502549952153,0.023403606846377267,-0.0319879810867641,0.020459237670234193,0.010013068206861098
1994-10-31,0.04229792072000666,0.14836869532823077,-0.028296005150073453,0.009059400559813469,-0.04349106907692821,0.010162312880815705
1994-11-30,-0.03868858185576649,0.08799952621243928,-0.00041537731341290823,0.006397396616643066,0.016819528929106157,0.0104600765827072
1994-12-28,-0.05465010091575865,0.15028064290900556,-0.004232709129791887,-0.02140230628085764,-0.028560979239721306,0.010867932097523347
1995-01-28,-0.11007654800904217,-0.04537004087650345,-0.0004602131295713269,-0.009130095448545747,0.02125462987220557,0.010978851950173452
