,Mkt-Rf,SMB,HML,MOM,Rf
1991-07-31,0.17075643888350311,-0.11985037664562373,0.02427426673855955,0.009270396630579755,0.01388843034840992
1991-08-31,-0.06147350654662319,-0.0497087007821199,0.014003536141104278,0.009730054329459822,0.014167257156779023
1991-09-30,0.01741805212033789,-0.06982404930736744,-0.0020492753319112118,0.048937286370355826,0.01474367878683669
1991-10-31,-0.02670818242139245,0.02651328173576216,0.054790176220863934,-0.03270278528092675,0.013745114400742331
1991-11-30,-0.07643737932768734,0.07309873337683476,0.06574491066296331,-0.032707306008557674,0.013457812123617963
1991-12-26,-0.07705262043903888,-0.021934076762837443,0.07256678415260487,0.06552517310806052,0.01388843034840992
1992-01-31,0.10208534802585406,0.11610750172837908,0.15482551146233736,0.08960487655504101,0.011824820244950685
1992-02-29,-0.11253024041889478,0.08923429545767807,0.05017012646527166,-0.05932721407821158,0.012590489349843637
1992-03-31,-0.022934099342004445,0.07050445784585559,0.16326619931084085,0.2136498996074857,0.012844303423637182
1992-04-30,0.003143831596176261,0.07232035968428724,-0.11291692581282592,-0.26047815416582315,0.012771856489323108
1992-05-30,-0.08066328906132367,0.1019000015740637,0.025319245484561312,0.05592497189943055,0.012851544982878327
1992-06-30,-0.05126606302369359,-0.1041255784047232,-0.04743475895548302,-0.09589986164866655,0.0126558226893152
1992-07-31,-0.08816233365928947,-0.001817129021934899,-0.01692409840656342,-0.04608705609248055,0.011934592413342715
1992-08-31,0.09038865519856461,0.00014094695250818634,0.05213877547050645,0.11714634981777448,0.013248956331977535
1992-09-30,-0.09980099650353759,-0.00589880560337646,-0.026551966719012568,-0.05935496833045663,0.012771856489323108
1992-10-31,0.18780916397158884,-0.10299245129246477,-0.013671135014784216,-0.1932226707024649,0.0102368443581764
1992-11-30,0.0664913191698618,-0.002237738332931699,-0.03240193019537529,-0.1350690799405056,0.01112653716075318
1992-12-28,0.011458768990278694,0.1003487137896674,-0.02470181513567417,-0.07414197315724608,0.011273985471853543
1993-01-30,-0.02173244614040999,0.14900016169839336,-0.04725643771331685,-0.05866659656390117,0.010117564942367263
1993-02-27,-0.050648420708383914,0.01324483791351646,0.04533710039466434,0.04149814463528292,0.009488792934583046
1993-03-31,0.02815262678296946,-0.04246984844018605,-0.04093072306346815,-0.005307536691227648,0.008848119764249596
1993-04-30,0.07340942913801829,-0.012830201389002982,-0.040791884975702755,-0.011275306738690774,0.008810293396664948
1993-05-31,0.033556983607216796,0.0485938175835382,-0.028886894850146297,-0.01994138095217432,0.00904456579200974
1993-06-30,-0.014286432201946173,0.08137500600906142,0.017174398483643518,-0.029470880420990084,0.009713849091260496
1993-07-31,-0.03566381175592098,0.025618376095476937,0.02253405617729516,-0.02384591950667683,0.010385726106876492
1993-08-31,-0.10010946542525367,-0.09351211749366092,-0.013007635834484166,-0.07007718118667983,0.010978851950173452
1993-09-28,0.07096577867154326,0.045893055809256025,0.02705432900072402,0.0598339312336833,0.0102368443581764
1993-10-30,0.03421792549697127,0.0695013159200415,0.014492414195526812,-0.05575021478897338,0.010087720864679683
1993-11-30,0.07073728053595842,-0.10045302078002621,0.03285580007380202,-0.05546620290417489,0.009638891672055117
1993-12-28,0.05847165388809346,-0.14010542969429474,0.006201680005253705,-0.08139999925224793,0.009488792934583046
1994-01-31,0.08255375985576734,-0.22110772395421852,-0.020686545550318465,0.018348726500799058,0.009263183504735206
1994-02-28,-0.03763340270512437,0.0019548267752606367,-0.0026700030685465163,-0.025707843379506535,0.009263183504735206
1994-03-31,-0.06585950807463213,0.15903570671675377,-0.01314901752143665,-0.12760374315235665,0.009638891672055117
1994-04-30,0.0382151707342547,-0.137594112030006,-0.005873185493785533,0.1655906126998135,0.009638891672055117
1994-05-31,0.02429694222451336,0.05585170573661114,-0.018820242421693723,-0.09119384904021985,0.009563872988093358
1994-06-30,-0.016088689643938545,0.0675911232287977,0.02414109015783791,-0.061517670781768466,0.009563872988093358
1994-07-30,-0.015413726676769253,0.049168480964791435,0.028981748687419467,0.048932818438809346,0.009638891672055117
1994-08-31,0.007883226499868536,-0.08239682826111547,-0.002038522099051048,0.005874916421803558,0.009638891672055117
1994-09-30,0.1025442536320976,-0.07871124812850372,-0.03396129578357561,-0.03184941552227113,0.010013068206861098
1994-10-31,0.04229792072000666,0.13051793568664394,-0.05235046811969796,0.010594244792426821,0.010162312880815705
1994-11-30,-0.03868858185576649,0.09920364086364128,-0.008360240779070417,-0.05681956782111985,0.0104600765827072
1994-12-28,-0.05465010091575865,0.14054438631943458,-0.03690951826396756,-0.11551385536384756,0.010867932097523347
1995-01-28,-0.11007654800904217,-0.04051700816464743,0.03994239562764117,0.042231597097369886,0.010978851950173452
1995-02-28,-0.05420316104251113,-0.03637765545818394,0.014529323540145328,-0.040794300981653105,0.01112653716075318
1995-03-31,0.04091198647618516,-0.06766686782603416,0.005314849584503761,0.0342608409455766,0.01112653716075318
1995-04-29,-0.048452944681841824,-0.02329163538672329,-0.01761410546090622,0.003762149137135809,0.01112653716075318
1995-05-31,-0.027291531586617172,-0.000934280663061754,-0.015821268954602178,-0.0593520458656209,0.01112653716075318
1995-06-30,0.002369213547462081,0.026752124220630818,0.024971418286460628,0.021266587601351576,0.01112653716075318
1995-07-31,0.03280420056489244,0.023773869276110356,0.0068357856845569775,-0.00860406391798866,0.010978851950173452
1995-08-31,-0.031172359650731125,-0.028532720816324304,0.027748741691931908,-0.03803486897185611,0.010274087426902057
1995-09-30,0.06495111684838077,-0.03591298000912517,-0.016383032812200625,-0.024455105227187558,0.010087720864679683
