,MKT,Rf
1990-07-21,-0.007732747,0.000405768
1990-07-23,-0.002509613,0.000404585
1990-07-24,0.008239293,0.000402457
1990-07-25,-0.012316313,0.000401273
1990-07-26,-0.005422336,0.000399615
1990-07-27,0.008289263,0.000399141
1990-07-28,-0.007278192,0.000398668
1990-07-30,0.006797269,0.00039606
1990-07-31,0.017438604,0.000393449
1990-08-01,-0.00279625,0.000393212
1990-08-02,-0.01439821,0.000393924
1990-08-03,-0.010245146,0.000395585
1990-08-04,-0.014923595,0.000395585
1990-08-06,-0.008345933,0.000395822
1990-08-07,-0.015017991,0.000395348
1990-08-08,0.004519914,0.000395348
1990-08-09,0.015394098,0.000396297
1990-08-10,-0.004628646,0.000397008
1990-08-11,-0.015292198,0.000397008
1990-08-13,-0.020995262,0.000395822
1990-08-14,-0.011497707,0.000396771
1990-08-16,-0.001807913,0.000396771
1990-08-17,0.006683763,0.000396771
1990-08-18,-0.010731288,0.000396771
1990-08-20,-0.017478635,0.000397008
1990-08-21,-0.005422052,0.000396771
1990-08-22,-0.005830424,0.000397008
1990-08-23,-0.015556145,0.000397008
1990-08-24,-0.011527523,0.000397008
1990-08-25,0.045813613,0.000397008
1990-08-27,0.045792704,0.000395822
1990-08-28,0.008327885,0.000395348
1990-08-29,-0.032295413,0.000393924
1990-08-30,-0.031873654,0.000393212
1990-08-31,0.003526291,0.000392499
1990-09-01,0.043283362,0.000392499
1990-09-03,-0.004768875,0.000392499
1990-09-04,-0.011607679,0.000392737
1990-09-05,-0.013936,0.000392737
1990-09-06,-0.005208587,0.000392499
1990-09-07,-0.000831865,0.000394399
1990-09-08,9.7948E-05,0.000394399
1990-09-10,0.001403784,0.000394636
1990-09-11,-0.004254348,0.000395111
1990-09-12,-0.004649031,0.000395348
1990-09-13,-0.007433721,0.000395822
1990-09-14,-0.021374602,0.000395822
1990-09-15,-0.041227862,0.000396297
1990-09-17,0.040881558,0.000397482
1990-09-18,0.005734451,0.000397482
1990-09-19,-0.012837382,0.000398668
1990-09-20,-0.00100822,0.000398431
1990-09-21,0.000581594,0.000398431
1990-09-22,0.004188464,0.000398431
1990-09-24,0.010861608,0.000399141
1990-09-25,0.000454722,0.000399615
1990-09-26,-0.000993199,0.000399852
1990-09-27,0.007110961,0.000399615
1990-09-28,0.008717185,0.000400799
1990-09-29,0.035247479,0.000401983
1990-10-05,-0.012273084,0.000400326
1990-10-06,-0.003909355,0.000401036
1990-10-08,0.004983226,0.000401983
1990-10-10,0.00779427,0.00040222
1990-10-11,0.022205071,0.000405531
1990-10-12,-0.013826407,0.00040624
1990-10-13,0.031007257,0.000405531
1990-10-15,-0.012531134,0.000409075
1990-10-16,0.024549969,0.000409311
1990-10-17,0.019267233,0.000411198
1990-10-18,0.044182069,0.000412613
1990-10-19,0.020732461,0.000415912
1990-10-20,0.032275773,0.000415206
1990-10-22,0.043879624,0.000416148
1990-10-23,0.040781138,0.000416383
1990-10-24,-0.037288051,0.000416148
1990-10-25,-0.041730764,0.000416854
1990-10-26,-0.002720903,0.000416619
1990-10-27,-0.016588227,0.000416854
1990-10-29,-0.013039437,0.000416383
1990-10-30,-0.029979339,0.000416383
1990-10-31,0.039570534,0.000416383
1990-11-01,-0.010467337,0.000416383
1990-11-02,0.00140853,0.000416383
1990-11-03,-0.004711939,0.000416383
1990-11-05,-0.006613813,0.000416383
1990-11-06,0.02564978,0.000416383
1990-11-07,-0.019030182,0.000416854
1990-11-08,-0.004849839,0.00041709
1990-11-09,-0.008837612,0.000417796
1990-11-10,0.005648017,0.00041756
1990-11-12,0.012159138,0.000418737
1990-11-13,-0.007281075,0.000418737
1990-11-14,-0.004880194,0.000418737
1990-11-15,-0.005688217,0.000418737
1990-11-16,-0.008272876,0.000419442
1990-11-17,-0.016842805,0.000419442
1990-11-19,-0.008514205,0.000419913
1990-11-20,-0.00378198,0.000420383
1990-11-21,0.012103618,0.000420383
1990-11-22,0.000235353,0.000420383
1990-11-23,-0.001573553,0.000420383
1990-11-24,0.002415601,0.000420383
1990-11-26,0.009859527,0.000422733
1990-11-27,0.018173353,0.000423673
1990-11-28,-0.010303533,0.000423438
1990-11-29,0.006468847,0.000423203
1990-11-30,0.016541612,0.000423203
1990-12-01,0.012786497,0.000422968
1990-12-03,-0.012151278,0.000422968
1990-12-04,0.014021724,0.000422968
1990-12-05,-0.001418953,0.000422733
1990-12-06,0.018305425,0.000423203
1990-12-07,0.003789537,0.000423673
1990-12-08,0.002180639,0.000423673
1990-12-10,-0.013286552,0.000424846
1990-12-11,-0.001447158,0.000425785
1990-12-12,-0.016135043,0.00042555
1990-12-13,-0.003871945,0.00042555
1990-12-14,-0.006436076,0.00042555
1990-12-15,0.0007796,0.00042555
1990-12-17,5.6654E-05,0.000425316
1990-12-18,-0.012094947,0.000425316
1990-12-19,0.000716805,0.000425081
1990-12-20,0.014612343,0.000426254
1990-12-21,-0.003685191,0.000426958
1990-12-22,-0.016821847,0.000426958
1990-12-24,0.003387339,0.000427662
1990-12-26,-0.023502033,0.000427662
1991-01-03,0.026289077,0.000428131
1991-01-04,0.001189759,0.000428131
1991-01-05,-0.031211969,0.000428131
1991-01-07,-0.025079435,0.000428131
1991-01-08,0.001076279,0.000428131
1991-01-09,-0.03775042,0.000427896
1991-01-10,-0.012211626,0.000427193
1991-01-11,0.0342361,0.000425316
