,Mkt-Rf,SMB,HML,Rf
1991-07-31,0.17075643888350311,-0.12662209141128075,0.004369510606380841,0.01388843034840992
1991-08-31,-0.06147350654662319,-0.04401062363571878,0.009459268765541276,0.014167257156779023
1991-09-30,0.01741805212033789,-0.06643357128442745,-0.010092236433732074,0.01474367878683669
1991-10-31,-0.02670818242139245,0.02986668912573279,0.0399752364207998,0.013745114400742331
1991-11-30,-0.07643737932768734,0.07477205743387236,0.055577493127131034,0.013457812123617963
1991-12-26,-0.07705262043903888,-0.02100780376137583,0.044152577790456685,0.01388843034840992
1992-01-31,0.10208534802585406,0.11612721186317573,0.15049350395382619,0.011824820244950685
1992-02-29,-0.11253024041889478,0.09859523629751722,0.05225782186975403,0.012590489349843637
1992-03-31,-0.022934099342004445,0.057235690601653545,0.1612541976174951,0.012844303423637182
1992-04-30,0.003143831596176261,0.07722960882278533,-0.09011802075597367,0.012771856489323108
1992-05-30,-0.08066328906132367,0.10079237886646897,0.029708096074813783,0.012851544982878327
1992-06-30,-0.05126606302369359,-0.10456867111086346,-0.06342827569746366,0.0126558226893152
1992-07-31,-0.08816233365928947,-0.0111099819115376,0.020521242374426693,0.011934592413342715
1992-08-31,0.09038865519856461,0.002118218597296301,0.016744468081169334,0.013248956331977535
1992-09-30,-0.09980099650353759,-0.007132542518363497,-0.020165826299701373,0.012771856489323108
1992-10-31,0.18780916397158884,-0.10176808496650909,-0.03360670920523745,0.0102368443581764
1992-11-30,0.0664913191698618,-0.0068479980547552916,-0.04070531688469435,0.01112653716075318
1992-12-28,0.011458768990278694,0.0850303755687318,0.018246153307000607,0.011273985471853543
1993-01-30,-0.02173244614040999,0.14895208655974612,-0.01433910032184997,0.010117564942367263
1993-02-27,-0.050648420708383914,0.017081190649618435,0.025146287066817957,0.009488792934583046
1993-03-31,0.02815262678296946,-0.042829848521676005,-0.01465572146890356,0.008848119764249596
1993-04-30,0.07340942913801829,-0.018666288036206374,-0.008466635361076932,0.008810293396664948
1993-05-31,0.033556983607216796,0.027070754138479515,0.03144365307067072,0.00904456579200974
1993-06-30,-0.014286432201946173,0.07885700825153635,0.010059334078129346,0.009713849091260496
1993-07-31,-0.03566381175592098,0.030121143880263906,0.028537037791378526,0.010385726106876492
1993-08-31,-0.10010946542525367,-0.09419534901133889,-0.010477650828265461,0.010978851950173452
1993-09-28,0.07096577867154326,0.04660787957809458,-0.0024410701047681144,0.0102368443581764
1993-10-30,0.03421792549697127,0.07093696847371325,0.04634908298375,0.010087720864679683
1993-11-30,0.07073728053595842,-0.08127003036679316,0.07716639566895134,0.009638891672055117
1993-12-28,0.05847165388809346,-0.15134458061198722,0.022528262640361545,0.009488792934583046
1994-01-31,0.08255375985576734,-0.23983261290790941,-0.007070753027396855,0.009263183504735206
1994-02-28,-0.03763340270512437,0.007537014848613948,-0.049921716039065527,0.009263183504735206
1994-03-31,-0.06585950807463213,0.16081673379320457,0.009457194307115606,0.009638891672055117
1994-04-30,0.0382151707342547,-0.1322000778869742,0.0028464315188412165,0.009638891672055117
1994-05-31,0.02429694222451336,0.05794419108496956,-0.012183903139690533,0.009563872988093358
1994-06-30,-0.016088689643938545,0.0736711504125344,-0.00092102620486385,0.009563872988093358
1994-07-30,-0.015413726676769253,0.04898758920952675,-0.004946924887898274,0.009638891672055117
1994-08-31,0.007883226499868536,-0.08889882779752582,-0.013144640427999371,0.009638891672055117
1994-09-30,0.1025442536320976,-0.07470257452241783,0.023403606846377267,0.010013068206861098
1994-10-31,0.04229792072000666,0.15804299266154445,-0.028296005150073453,0.010162312880815705
1994-11-30,-0.03868858185576649,0.08957721785766821,-0.00041537731341290823,0.0104600765827072
1994-12-28,-0.05465010091575865,0.15838830262790837,-0.004232709129791887,0.010867932097523347
1995-01-28,-0.11007654800904217,-0.050331697334827716,-0.0004602131295713269,0.010978851950173452
1995-02-28,-0.05420316104251113,-0.04071737583917618,-0.018448116353700743,0.01112653716075318
1995-03-31,0.04091198647618516,-0.06769522178017622,-0.02342449997766547,0.01112653716075318
1995-04-29,-0.048452944681841824,-0.029006250210478736,-0.016874522032647624,0.01112653716075318
1995-05-31,-0.027291531586617172,-0.0008631114192510156,0.006940487889875592,0.01112653716075318
1995-06-30,0.002369213547462081,0.019717200505885102,-0.011727318159167069,0.01112653716075318
1995-07-31,0.03280420056489244,0.022115594587839436,-0.0062805694401464746,0.010978851950173452
1995-08-31,-0.031172359650731125,-0.026277223410569046,0.023583790216772524,0.010274087426902057
1995-09-30,0.06495111684838077,-0.04632824527307016,-0.033729822076116515,0.010087720864679683
1995-10-31,-0.0020443806221980866,-0.022916929199666626,-0.026924058658689298,0.009788745350229444
1995-11-30,-0.06926210471184768,0.03723301735238186,0.004700355560568817,0.009338448298380486
1995-12-27,-0.06084123525466646,-0.06967953966003151,-0.03657273453460591,0.009300823618865417
1996-01-31,-0.014079880142272887,0.08760032384201762,-0.006432410577221971,0.009413651406458445
1996-02-29,-0.038949804171286975,-0.03487211967424054,0.04032250843146271,0.009376057556508055
1996-03-30,0.015747662736602372,-0.01588712860917391,0.027159695948478522,0.009263183504735206
1996-04-30,0.11397905632814707,0.07078052006907191,-0.02030854362899573,0.008126736661694611
1996-05-31,-0.08843757803013526,0.07876256787117522,0.04028676196386078,0.009112468436904608
1996-06-29,-0.10437845947553138,0.023872303273094878,-0.003965281645313401,0.009526340639091968
1996-07-31,-0.004552823008255102,0.12635038721735437,-0.018468096834129984,0.009788745350229444
1996-08-31,-0.05903442955752756,0.05047702670315075,0.018617467407108824,0.010087720864679683
