Code,,1989-12,1990-12,1991-12,1992-12,1993-12,1994-12,1995-12,1996-12,1997-12,1998-12,1999-12,2000-12,2001-12,2002-12,2003-12,2004-12,2005-12,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,2016-12,2017-12,2018-12,2019-12,2020-07
A207940,자본총계,,,,,,,,,,,,,,,,,,,,,,,142006147.000000 ,456382283.000000 ,400095798.000000 ,662114006.000000 ,2774834159.000000 ,4082379459.570000 ,3976450892.360000 ,4155468451.150000 ,4354453745.370000 ,
A207940,우선주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A207940,이연법인세자산,,,,,,,,,,,,,,,,,,,,,,,2066460.000000 ,,,,,,,,,
A207940,영업이익,,,,,,,,,,,,,,,,,,,,,,,-12278892.000000 ,-83437488.000000 ,-146354241.000000 ,-105197235.000000 ,-203642444.000000 ,-30422638.580000 ,65979402.410000 ,55678744.520000 ,91742387.200000 ,
A207940,자산총계,,,,,,,,,,,,,,,,,,,,,,,184347767.000000 ,570278585.000000 ,653425664.000000 ,1357295208.000000 ,5960493716.000000 ,7533016106.340000 ,7183091162.580000 ,5980408648.290000 ,5911626511.920000 ,
A035420,자본총계,,,,,,,,,,,10814294.000000 ,34368998.000000 ,41681413.000000 ,108219471.000000 ,163470943.000000 ,243671094.000000 ,232255467.000000 ,374458485.000000 ,468934454.000000 ,618787558.000000 ,983485590.000000 ,1366054704.000000 ,1577862029.780000 ,1903568275.000000 ,1475309016.000000 ,1797418215.000000 ,2269578519.000000 ,4129598862.940000 ,5305186234.950000 ,5949140513.290000 ,6503926069.000000 ,
A035420,우선주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A035420,이연법인세자산,,,,,,,,,,,,,340849.000000 ,1363850.000000 ,1856249.000000 ,8769481.000000 ,301497.000000 ,261831.000000 ,1704044.000000 ,3572326.000000 ,957963.000000 ,1740959.000000 ,50013950.490000 ,65095671.000000 ,132479740.000000 ,118759898.000000 ,244792137.000000 ,285890760.770000 ,248493530.450000 ,340178774.170000 ,381279418.000000 ,
A035420,영업이익,,,,,,,,,,,91594.000000 ,-7922058.000000 ,5333078.000000 ,30229317.000000 ,65351359.000000 ,74703570.000000 ,131472454.000000 ,229560212.000000 ,389491413.000000 ,491174801.000000 ,531818639.000000 ,607128210.000000 ,660352453.170000 ,521187072.000000 ,524138542.000000 ,758199066.000000 ,830224961.000000 ,1102040475.790000 ,1179187806.330000 ,942532561.550000 ,710070174.000000 ,
A035420,자산총계,,,,,,,,,,,11890227.000000 ,36402021.000000 ,46006521.000000 ,125207872.000000 ,200686709.000000 ,313306813.000000 ,373726916.000000 ,549390920.000000 ,811051896.000000 ,1002359342.000000 ,1304885162.000000 ,1720282233.000000 ,2372705276.270000 ,2927316669.000000 ,2697746840.000000 ,3394457894.000000 ,4385913018.000000 ,6370635180.590000 ,8019251559.910000 ,9881190909.320000 ,12299527121.000000 ,
A068270,자본총계,,,,,,,,,,,,,,4846215.000000 ,6323082.000000 ,9308313.000000 ,17832060.000000 ,23627620.000000 ,25313821.000000 ,219716740.000000 ,285672461.000000 ,779887194.000000 ,899546488.420000 ,1050148748.940000 ,1087131958.400000 ,1347781344.650000 ,1809840731.290000 ,2198966800.900000 ,2431929394.110000 ,2632777861.610000 ,2906958188.320000 ,
A068270,우선주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A068270,이연법인세자산,,,,,,,,,,,,,,,191363.000000 ,104916.000000 ,,,,4614057.000000 ,,,,,14570671.850000 ,3783243.940000 ,22090562.640000 ,16773755.930000 ,,,23311280.290000 ,
A068270,영업이익,,,,,,,,,,,,,,1063500.000000 ,1967985.000000 ,3533578.000000 ,3302755.000000 ,2779365.000000 ,2952039.000000 ,30771717.000000 ,71752292.000000 ,106619644.000000 ,178657358.370000 ,195449915.740000 ,99845426.800000 ,201468888.030000 ,258954318.710000 ,249694241.820000 ,507828939.200000 ,338694787.470000 ,378058980.930000 ,
A068270,자산총계,,,,,,,,,,,,,,12317584.000000 ,15986081.000000 ,20530535.000000 ,33607942.000000 ,40674171.000000 ,50152051.000000 ,499263761.000000 ,559203548.000000 ,1155460946.000000 ,1407313302.400000 ,1732913896.530000 ,1978508192.260000 ,2322385038.800000 ,2748230541.700000 ,3021941007.470000 ,3315527704.650000 ,3540626673.950000 ,3893691606.450000 ,
A051910,자본총계,,,,,,,,,,,,,1270004448.000000 ,1457186019.000000 ,1814602687.000000 ,2195141101.000000 ,2438525000.000000 ,2617240000.000000 ,3878196000.000000 ,4889694000.000000 ,5484335000.000000 ,7843835000.000000 ,9707679000.000000 ,10765355000.000000 ,11725662000.000000 ,12265852000.000000 ,13103522000.000000 ,14050967000.000000 ,16338577000.000000 ,17322128000.000000 ,17383789000.000000 ,
A051910,우선주자본금,,,,,,,,,,,,,43306255.000000 ,43306255.000000 ,43306255.000000 ,43306255.000000 ,43306000.000000 ,43306000.000000 ,43306000.000000 ,43306000.000000 ,38144000.000000 ,38144000.000000 ,38144000.000000 ,38144000.000000 ,38144000.000000 ,38144000.000000 ,38144000.000000 ,38144000.000000 ,38444000.000000 ,38444000.000000 ,38444000.000000 ,
A051910,이연법인세자산,,,,,,,,,,,,,,,,,,,,,,45289000.000000 ,32211000.000000 ,57525000.000000 ,77069000.000000 ,96823000.000000 ,98459000.000000 ,170177000.000000 ,281506000.000000 ,408136000.000000 ,516606000.000000 ,
A051910,영업이익,,,,,,,,,,,,,267259341.000000 ,516386630.000000 ,479427728.000000 ,522917921.000000 ,421714000.000000 ,333945000.000000 ,763622000.000000 ,1344349000.000000 ,1944812000.000000 ,2839921000.000000 ,2818758000.000000 ,1910323000.000000 ,1743044000.000000 ,1310761000.000000 ,1823568000.000000 ,1991920000.000000 ,2928457000.000000 ,2246070000.000000 ,895648000.000000 ,
A051910,자산총계,,,,,,,,,,,,,3634042405.000000 ,3846141874.000000 ,4761747858.000000 ,5679528549.000000 ,5593399000.000000 ,5806516000.000000 ,7049952000.000000 ,8036382000.000000 ,8358827000.000000 ,12673459000.000000 ,15285554000.000000 ,16581153000.000000 ,17446464000.000000 ,18127646000.000000 ,18578728000.000000 ,20487060000.000000 ,25041221000.000000 ,28944137000.000000 ,34024426000.000000 ,
